BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;830200523;830210084;22;8030;1948;188;6251;61;22265;812;131;3820;;;0;0;0;83;30295;2760;319;10071;15;2484;;;122;;0;;0;;;15;2484;;;122;0;1;1;1;0;0;0;0;1;14;;;;23552;5898;
MCO;2014;840000285;840000608;6;2190;368;4;2630;52;18980;2226;0;5745;59;21535;3623;0;13694;117;42705;6217;4;22069;;0;;;21;27;6058;2;396;;;29;6454;;;21;;;;;;;;;;;;;;;;
MCO;2014;840000327;840000640;3;1095;7;0;102;39;14235;1942;0;9737;;;0;0;0;42;15330;1949;0;9839;;0;;;0;2;458;;0;;;2;458;;;0;;;;;;;;;;;;;;;;
MCO;2014;840000343;840000012;39;13819;2716;657;12867;;;0;0;0;10;3285;485;106;1499;49;17104;3201;763;14366;10;746;;;1052;;0;;89;;;10;835;;;1052;0;0;0;1;1;1;0;1;1;;42;20;14;9460;1125;0
MCO;2014;840000350;840000657;88;29744;3854;22;24243;;;0;0;0;;;0;0;0;88;29744;3854;22;24243;38;586;0;0;67526;;0;;0;;;38;586;0;0;67526;0;0;0;0;0;0;0;0;0;;;;;33103;11057;0
MCO;2014;840000392;840000046;72;26280;3554;236;26164;;;0;0;0;26;9490;1791;39;7168;98;35770;5345;275;33332;4;106;;;426;2;459;0;0;;;6;565;;;426;1;0;1;0;0;1;0;0;0;50;;10;;;;
MCO;2014;840000400;840000673;1;365;204;2;1271;75;27375;2619;31;10426;;;0;0;0;76;27740;2823;33;11697;;0;;;0;22;5505;;0;;;22;5505;;;0;;;;;;;;;;;;;;;;
MCO;2014;840000418;840004659;59;21535;4403;1138;18268;20;7300;702;81;3062;22;8030;1326;429;3532;101;36865;6431;1648;24862;3;357;;;1362;0;0;0;0;;;3;357;;;1362;1;0;1;1;0;1;1;0;0;44;;10;;11269;3799;0
MCO;2014;840000426;840000061;5;1825;66;2;812;;;0;0;0;;;0;0;0;5;1825;66;2;812;0;0;0;0;0;;0;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2014;840000434;840000079;10;3650;109;2;2259;;;0;0;0;;;0;0;0;10;3650;109;2;2259;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;840000467;840003651;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;9;4720;;0;;;9;4720;;;0;;;;;;;;;;;;;;;;
MCO;2014;840000483;840000087;94;34310;5490;1302;31485;60;20608;3277;996;13836;27;9793;2065;437;6363;181;64711;10832;2735;51684;0;0;;;1086;0;0;;0;;;0;0;;;1086;1;1;1;1;1;1;1;1;0;;;;;22811;1342;327
MCO;2014;840000491;130041916;34;12410;2502;872;10548;;;0;0;0;24;7860;1037;53;4052;58;20270;3539;925;14600;2;213;;;5;;0;3;576;;;5;789;;;5;1;;;;;1;;;;;;;;17394;15894;
